date,AKBNK,ARCLK,ASELS,BIMAS,DOHOL,EKGYO,EREGL,FROTO,GARAN,HALKB,ISCTR,KCHOL,KOZAA,KOZAL,KRDMD,PETKM,PGSUS,SAHOL,SISE,SODA,TAVHL,TCELL,THYAO,TKFEN,TOASO,TSKB,TTKOM,TUPRS,VAKBN,YKBNK
2020-01-31 10:00:00,8.474999904632567,21.32999992370605,23.71000003814697,49.63999938964844,2.0249999761581416,1.6649999618530271,9.425000190734863,75.79999923706055,11.984999656677244,6.934999942779541,7.244999885559082,20.11000061035156,10.654999732971193,78.54999923706055,2.8249999284744263,4.0350000858306885,68.72499847412111,9.96500015258789,5.2149999141693115,6.3650000095367405,27.03000068664551,14.255000114440918,13.875,19.40499973297119,27.11000061035156,1.3949999809265137,8.055000305175781,115.54999923706056,,3.0349999666214003
2020-01-31 10:05:00,8.454999923706055,21.289999961853027,23.85000038146973,49.47999954223633,2.0249999761581416,1.6649999618530271,9.404999732971193,74.95000076293945,12.085000038146973,6.924999952316284,7.255000114440918,20.020000457763672,10.635000228881836,78.0250015258789,2.8249999284744263,4.0350000858306885,68.77500152587889,10.015000343322754,5.184999942779541,6.444999933242798,26.949999809265126,14.25,13.824999809265135,19.36500072479248,26.93000030517577,1.3849999904632568,8.015000343322754,115.35000228881836,6.734999895095825,3.0349999666214003
2020-01-31 10:10:00,8.465000152587889,21.300000190734863,23.86999988555908,49.39000129699706,2.0249999761581416,1.6649999618530271,9.44499969482422,74.9000015258789,12.105000019073485,6.944999933242798,7.265000104904175,20.01000022888184,10.635000228881836,77.9749984741211,2.8249999284744263,4.045000076293944,68.72499847412111,10.025000095367432,5.204999923706055,6.464999914169312,26.85000038146973,14.265000343322756,13.904999732971193,19.38499927520752,27.01000022888184,1.3849999904632568,7.994999885559082,115.85000228881836,6.7750000953674325,3.044999957084656
2020-01-31 10:15:00,8.465000152587889,21.199999809265137,23.78999996185303,49.3700008392334,2.0249999761581416,1.6649999618530271,9.43499994277954,75.14999771118164,12.085000038146973,6.934999942779541,7.255000114440918,19.984999656677246,10.605000019073486,77.85000228881836,2.8249999284744263,4.0350000858306885,68.52500152587889,10.010000228881836,5.2149999141693115,6.4049999713897705,26.86999988555908,14.21500015258789,13.889999866485596,19.36500072479248,26.96000003814697,1.3849999904632568,7.974999904632567,115.45000076293944,6.765000104904175,3.044999957084656
2020-01-31 10:20:00,8.465000152587889,21.13000011444092,23.90999984741211,49.38000106811523,2.0249999761581416,1.6649999618530271,9.425000190734863,74.92499923706055,12.074999809265135,6.914999961853027,7.234999895095825,19.984999656677246,10.585000038146973,77.82500076293945,2.8249999284744263,4.025000095367432,68.07500076293945,9.994999885559082,5.224999904632568,6.38499999046326,26.82999992370605,14.164999961853027,13.855000019073485,19.324999809265137,26.82999992370605,1.375,7.954999923706055,115.75,6.75,3.044999957084656
2020-01-31 10:25:00,8.454999923706055,21.13000011444092,23.86999988555908,49.28999900817871,2.0249999761581416,1.6549999713897705,9.394999980926514,74.95000076293945,12.045000076293945,6.9049999713897705,7.224999904632567,19.964999198913574,10.574999809265137,77.625,2.8249999284744263,4.025000095367432,67.875,9.994999885559082,5.2149999141693115,6.38499999046326,26.809999465942386,14.125,13.81500005722046,19.3149995803833,26.85000038146973,1.375,7.930000066757202,115.45000076293944,6.740000009536742,3.0349999666214003
2020-01-31 10:30:00,8.454999923706055,21.190000534057614,23.88999938964844,49.29999923706055,2.0249999761581416,1.6549999713897705,9.385000228881836,74.77499771118164,12.06500005722046,6.914999961853027,7.234999895095825,19.94500064849853,10.595000267028807,77.7750015258789,2.8249999284744263,4.0350000858306885,67.82500076293945,9.994999885559082,5.275000095367432,6.414999961853027,26.81999969482422,14.125,13.81500005722046,19.36500072479248,26.770000457763675,1.375,7.944999933242798,115.45000076293944,6.744999885559082,3.0349999666214003
2020-01-31 10:35:00,8.440000057220459,21.18000030517578,23.86999988555908,49.1299991607666,2.0249999761581416,1.6549999713897705,9.364999771118164,74.625,12.05500030517578,6.9049999713897705,7.234999895095825,19.95499992370605,10.574999809265137,77.7249984741211,2.8249999284744263,4.025000095367432,67.47499847412111,9.984999656677246,5.2850000858306885,6.3949999809265154,26.739999771118164,14.135000228881836,13.795000076293945,19.355000495910645,26.76000022888184,1.375,7.954999923706055,115.45000076293944,6.744999885559082,3.0349999666214003
2020-01-31 10:40:00,8.444999694824219,21.149999618530273,23.90999984741211,49.13999938964844,2.0249999761581416,1.6549999713897705,9.364999771118164,74.875,12.03499984741211,6.9049999713897705,7.234999895095825,19.940000534057614,10.574999809265137,77.70000076293945,2.8249999284744263,4.025000095367432,67.52500152587889,10.005000114440918,5.2850000858306885,6.414999961853027,26.729999542236328,14.135000228881836,13.78499984741211,19.34500026702881,26.68000030517578,1.3650000095367432,7.924999952316284,115.45000076293944,6.734999895095825,3.0349999666214003
2020-01-31 10:45:00,8.414999961853027,21.13000011444092,23.86999988555908,49.1299991607666,2.0249999761581416,1.6549999713897705,9.345000267028807,74.67500305175781,11.954999923706055,6.88499999046326,7.204999923706055,19.9350004196167,10.56500005722046,77.625,2.8249999284744263,4.025000095367432,67.375,9.974999904632568,5.2850000858306885,6.424999952316284,26.649999618530273,14.095000267028807,13.755000114440918,19.3149995803833,26.619999885559093,1.3650000095367432,7.914999961853027,115.14999771118164,6.704999923706055,3.024999976158142
