bist30
ARCLK
ASELS
BIMAS
DOHOL
EKGYO
FROTO
GARAN
HALKB
ISCTR
KCHOL
KOZAA
KOZAL
KRDMD
AKBNK
PETKM
PGSUS
SAHOL
SISE
EREGL
SODA
TAVHL
TCELL
THYAO
TKFEN
TOASO
TSKB
TTKOM
TUPRS
VAKBN
YKBNK
