"","symbolCode","symbolId","deleted","description","exchangeId","fraction","marketCode"
"4508","AKGRT",24,FALSE,"AKSIGORTA A.S.",4,2,"Z"
"4518","OTKAR",398,FALSE,"OTOKAR OTOMOTIV VE SAVUNMA SANAI",4,2,"Z"
"4530","EREGL",178,FALSE,"EREGLI DEMIR CELIK",4,2,"Z"
"4539","ARCLK",44,FALSE,"ARCELIK",4,2,"Z"
"4540","ISCTR",275,FALSE,"T. IS BANKASI C GRUBU",4,2,"Z"
"4555","EKGYO",2341,FALSE,"EMLAK KONUT GAYRIMENKUL YAT ORT",4,2,"Z"
"4563","SAHOL",463,FALSE,"HACI OMER SABANCI HOLDING",4,2,"Z"
"4585","THYAO",527,FALSE,"TURK HAVA YOLLARI AS",4,2,"Z"
"4587","ALARK",29,FALSE,"ALARKO HOLDING",4,2,"Z"
"4598","HEKTS",245,FALSE,"HEKTAS",4,2,"Z"
"4609","KRDMA",320,FALSE,"KARDEMIR A GRUBU",4,2,"Z"
"4621","AKSA",26,FALSE,"AKSA AKRILIK A.S.",4,2,"Z"
"4633","HLGYO",5797,FALSE,"HALK GAYRIMENKUL YAT ORT",4,2,"Z"
"4634","NTHOL",386,FALSE,"NET HOLDING",4,2,"Z"
"4678","ISFIN",276,FALSE,"IS FINANSAL KIRALAMA A.S.",4,2,"Z"
"5074","ENJSA",2988,FALSE,"ENERJISA ENERJI",4,2,"Z"
"5708","MAVI",9555,FALSE,"MAVI GIYIM",4,2,"Z"
"6382","ISDMR",9334,FALSE,"ISKENDERUN DEMIR CELIK",4,2,"Z"
"6804","ODAS R",15215,FALSE,"ODAS ELEKTRIK  - RHKP",4,2,"Z"
"7068","MPARK",2990,FALSE,"MLP SAGLIK",4,2,"Z"
"7232","SOKM",2998,FALSE,"SOK MARKETLER TICARET",4,2,"Z"
"9526","ODAS TR",16157,FALSE,"ODAS.TR TEMERRUT",4,2,"Z"
