date,DOHOL,THYAO
2020-01-03 15:12:45.142000010,1,1
2020-01-03 15:15:06.960000050,-1,1
2020-01-03 15:21:08.637000030,1,1
2020-01-03 15:29:24.749000050,1,0
2020-01-03 15:29:26.787000040,-1,-1
2020-01-03 15:29:51.461000030,1,1
2020-01-03 15:30:03.044000070,-1,0
2020-01-03 15:30:20.925000030,1,-1
2020-01-03 15:33:42.252000010,1,1
2020-01-03 15:43:16.321000020,-1,-1
2020-01-03 15:43:27.763000010,1,1
2020-01-03 16:08:02.284000030,1,-1
2020-01-03 16:14:46.839000010,-1,0
2020-01-03 16:14:52.622000050,1,-1
2020-01-03 16:16:47.291000040,-1,0
2020-01-03 16:16:47.401000010,1,0
2020-01-03 16:16:47.595000020,-1,0
2020-01-03 16:16:48.830000010,1,-1
2020-01-03 16:17:13.808000020,-1,0
2020-01-03 16:17:18.952000020,1,1
2020-01-03 16:21:57.027000010,-1,-1
2020-01-03 16:22:24.325000020,1,0
2020-01-03 16:22:24.425000000,-1,-1
2020-01-03 16:22:32.636000010,1,0
2020-01-03 16:22:33.715000000,-1,-1
2020-01-03 16:24:53.827000020,1,0
2020-01-03 16:24:54.134000020,-1,-1
2020-01-03 17:20:47.446000060,1,0
2020-01-03 17:20:47.446000090,1,0
2020-01-03 17:21:03.391000010,-1,-1
2020-01-03 17:23:11.530000020,1,-1
2020-01-03 17:50:46.864000020,1,0
2020-01-03 17:50:48.688000010,1,0
2020-01-03 17:50:48.692000010,-1,0
2020-01-03 17:50:51.131000060,1,-1
2020-01-03 17:50:59.520000050,-1,1
2020-01-06 10:00:18.945000030,-1,-1
2020-01-06 10:03:22.795000110,1,1
2020-01-06 10:03:57.972000170,1,1
2020-01-06 10:18:11.994000070,-1,0
2020-01-06 10:18:12.039000020,-1,-1
2020-01-06 10:18:35.123000020,-1,0
2020-01-06 10:18:35.123000060,-1,1
2020-01-06 10:19:29.325000030,1,-1
2020-01-06 10:34:45.995000020,1,1
2020-01-06 10:41:39.926000010,1,1
2020-01-06 10:58:21.299000030,-1,0
2020-01-06 10:58:21.305000020,-1,1
2020-01-06 11:13:29.339000020,-1,-1
2020-01-06 11:14:27.537000010,1,1
2020-01-06 11:35:25.468000090,-1,-1
2020-01-06 11:35:50.364000110,1,1
2020-01-06 11:35:52.795000100,-1,0
