symbol_pvc,p_value_chi2,symbol_pvfe,p_value_fisher_exact,symbol_as,accuracy_score,symbol_ars,adjusted_rand_score,symbol_mc,matthews_corrcoef,symbol_mis,mutual_info_score
"('BIMAS', 'VAKBN')",3.7450631991624897e-34,"('TTKOM', 'TAVHL')",4.82009426298308e-35,"('THYAO', 'FROTO')",0.107080680165033,"('BIMAS', 'ASELS')",0.000776378007349,"('PGSUS', 'TCELL')",0.034297939053073,"('BIMAS', 'PGSUS')",0.002148612024576
"('VAKBN', 'TAVHL')",4.34343995992039e-34,"('ASELS', 'KRDMD')",4.982713712284789e-35,"('BIMAS', 'ASELS')",0.107242693773825,"('GARAN', 'SISE')",0.0007771321434960001,"('YKBNK', 'KOZAA')",0.034425930043940005,"('SODA', 'PETKM')",0.002152257755803
"('ASELS', 'SISE')",4.607346907628769e-34,"('SISE', 'SODA')",6.78518898385226e-35,"('ASELS', 'EREGL')",0.107375618789843,"('SODA', 'VAKBN')",0.0007784931044069999,"('TUPRS', 'SISE')",0.03447396417194001,"('TOASO', 'ASELS')",0.002178035448547
"('TUPRS', 'THYAO')",5.0451544664329796e-34,"('VAKBN', 'TOASO')",7.061211894195949e-35,"('KOZAL', 'THYAO')",0.107382808000921,"('THYAO', 'BIMAS')",0.000800411417336,"('SISE', 'KCHOL')",0.034528751245307,"('SISE', 'TOASO')",0.002181522834426
"('GARAN', 'KRDMD')",6.9883665019491596e-34,"('TKFEN', 'KOZAL')",8.32254450556669e-35,"('KOZAL', 'ARCLK')",0.107619249850395,"('EREGL', 'SISE')",0.0008052440206399999,"('PETKM', 'SAHOL')",0.034542943027846,"('TUPRS', 'SISE')",0.002182250463524
"('TKFEN', 'KOZAL')",7.409941888870449e-34,"('PGSUS', 'TAVHL')",1.47902964340773e-34,"('TKFEN', 'FROTO')",0.10806374983803399,"('PETKM', 'FROTO')",0.000813919046665,"('HALKB', 'BIMAS')",0.034564673172355,"('SODA', 'SAHOL')",0.002186772338109
"('AKBNK', 'KRDMD')",9.60276004613833e-34,"('TCELL', 'HALKB')",1.73800734625273e-34,"('SODA', 'TUPRS')",0.10863618601016,"('SODA', 'ISCTR')",0.0008170542802150001,"('TUPRS', 'HALKB')",0.034646086008617995,"('PGSUS', 'TKFEN')",0.002190926715961
"('GARAN', 'BIMAS')",1.2264795915590999e-33,"('TUPRS', 'VAKBN')",2.22762534972768e-34,"('ASELS', 'TTKOM')",0.108708837275679,"('SISE', 'EREGL')",0.0008195181170189999,"('ASELS', 'KCHOL')",0.03469792519917,"('TSKB', 'KOZAA')",0.002214915950079
"('SISE', 'SODA')",1.4049691875922698e-33,"('TUPRS', 'THYAO')",2.62593221572404e-34,"('ARCLK', 'VAKBN')",0.10871262261141099,"('BIMAS', 'TTKOM')",0.000821957154763,"('DOHOL', 'ARCLK')",0.034753477809131,"('KCHOL', 'HALKB')",0.002224202708929
"('PGSUS', 'TAVHL')",2.2429798765421796e-33,"('THYAO', 'BIMAS')",5.05277990310927e-34,"('TTKOM', 'HALKB')",0.10874810616688199,"('FROTO', 'TTKOM')",0.0008366966898989999,"('DOHOL', 'EKGYO')",0.034880253462018,"('TUPRS', 'HALKB')",0.002225205363531
"('ASELS', 'KOZAA')",2.8758274286572303e-33,"('BIMAS', 'THYAO')",5.62328952350169e-34,"('KOZAA', 'TOASO')",0.108804177545692,"('PGSUS', 'THYAO')",0.0008377186390489999,"('KCHOL', 'HALKB')",0.034914302006337,"('SISE', 'EREGL')",0.0022285428758260003
"('TCELL', 'HALKB')",2.8896901071438695e-33,"('ISCTR', 'KRDMD')",7.053255206873279e-34,"('KOZAA', 'THYAO')",0.10938050164660999,"('TKFEN', 'KOZAL')",0.0008379116251489998,"('SODA', 'EREGL')",0.034914351028221005,"('TAVHL', 'VAKBN')",0.0022458975275360003
"('TKFEN', 'FROTO')",4.0515752305092204e-33,"('TKFEN', 'FROTO')",7.260079473430119e-34,"('TCELL', 'TTKOM')",0.11006936745747699,"('TUPRS', 'ISCTR')",0.000845505262663,"('KRDMD', 'PGSUS')",0.034917561095917996,"('SODA', 'KOZAA')",0.002253575891545
"('THYAO', 'BIMAS')",8.754105731371891e-33,"('TUPRS', 'ASELS')",1.61802243295897e-33,"('SAHOL', 'TUPRS')",0.11021788545767,"('THYAO', 'HALKB')",0.000847521536706,"('KRDMD', 'FROTO')",0.034921781105219,"('DOHOL', 'EREGL')",0.0022571247098829997
"('BIMAS', 'THYAO')",9.49843760552647e-33,"('ASELS', 'KOZAA')",1.64840912089776e-33,"('KCHOL', 'AKBNK')",0.110374557729066,"('TKFEN', 'KCHOL')",0.0008503693400630001,"('SISE', 'YKBNK')",0.034942114226222,"('TSKB', 'HALKB')",0.0022684129944310003
"('TUPRS', 'ASELS')",1.41107600871889e-32,"('ISCTR', 'KCHOL')",1.6679237280853796e-33,"('TCELL', 'SAHOL')",0.110762701127581,"('ASELS', 'KCHOL')",0.000854762611016,"('TKFEN', 'ISCTR')",0.035018531854721,"('KCHOL', 'KOZAA')",0.002274042364921
"('ISCTR', 'KRDMD')",1.44829600531803e-32,"('AKBNK', 'KRDMD')",2.59175975959615e-33,"('KOZAL', 'TOASO')",0.11079100523985401,"('TKFEN', 'KOZAA')",0.000859537485592,"('THYAO', 'KOZAL')",0.035033114819687,"('PGSUS', 'EREGL')",0.002280494005135
"('ISCTR', 'KCHOL')",1.9318866508666296e-32,"('EREGL', 'BIMAS')",7.2277747864764e-33,"('FROTO', 'VAKBN')",0.11100257872939,"('SISE', 'ISCTR')",0.0008598022827580001,"('ASELS', 'KOZAL')",0.035056157864181,"('YKBNK', 'KCHOL')",0.002292655779872
"('TUPRS', 'PGSUS')",2.7364482050152003e-32,"('HALKB', 'SODA')",8.736188186763572e-33,"('ARCLK', 'SAHOL')",0.11100917431192699,"('SAHOL', 'SODA')",0.0008724746755069999,"('PETKM', 'TSKB')",0.035149948802652,"('KRDMD', 'EKGYO')",0.0022968033137160003
"('ISCTR', 'TUPRS')",6.94079813983366e-32,"('ISCTR', 'TUPRS')",9.896000738209219e-33,"('TAVHL', 'TTKOM')",0.11105720918950801,"('KOZAA', 'PGSUS')",0.0008735931473480001,"('PGSUS', 'EREGL')",0.035165253782822,"('SISE', 'TAVHL')",0.002303595517834
"('EREGL', 'BIMAS')",9.451436513709278e-32,"('TUPRS', 'PGSUS')",1.04740604003225e-32,"('FROTO', 'AKBNK')",0.111409971543289,"('FROTO', 'ASELS')",0.000875214629248,"('EKGYO', 'PGSUS')",0.035232278029650003,"('TAVHL', 'KOZAA')",0.0023067659335110004
"('TUPRS', 'KCHOL')",1.15122187467155e-31,"('GARAN', 'BIMAS')",1.69091967179576e-32,"('KCHOL', 'VAKBN')",0.11148194879726499,"('BIMAS', 'THYAO')",0.000885322325515,"('SISE', 'EREGL')",0.035340539005461,"('SISE', 'GARAN')",0.0023113172579099996
"('HALKB', 'SODA')",1.65797631182986e-31,"('TKFEN', 'SODA')",2.1009533402614998e-32,"('SODA', 'SISE')",0.11152307542199198,"('PGSUS', 'TKFEN')",0.000889679264852,"('THYAO', 'TUPRS')",0.035349881686584,"('THYAO', 'TUPRS')",0.002311704511225
"('TKFEN', 'SODA')",3.17642757606905e-31,"('TUPRS', 'KCHOL')",3.3209699592738296e-32,"('TAVHL', 'SAHOL')",0.11152660918943301,"('TOASO', 'VAKBN')",0.000890532291627,"('TKFEN', 'AKBNK')",0.035563500659244,"('TKFEN', 'ISCTR')",0.002311902477288
"('PGSUS', 'KOZAL')",3.71774981892786e-31,"('EREGL', 'SISE')",4.721214363992719e-32,"('TOASO', 'SAHOL')",0.111800439446814,"('BIMAS', 'KOZAL')",0.0008926076105239999,"('HALKB', 'FROTO')",0.035728689650062005,"('TSKB', 'KOZAL')",0.002313770261422
"('ARCLK', 'KOZAA')",4.18164172114552e-31,"('TAVHL', 'ISCTR')",6.49826938604113e-32,"('THYAO', 'TAVHL')",0.11214708126669198,"('TKFEN', 'SAHOL')",0.000893592243691,"('TAVHL', 'VAKBN')",0.035731663746058,"('TKFEN', 'AKBNK')",0.0023256812804370005
"('TTKOM', 'SODA')",5.963285924581779e-31,"('KOZAA', 'ASELS')",6.531848314784079e-32,"('SODA', 'ISCTR')",0.112185120093732,"('PETKM', 'TUPRS')",0.000895359669975,"('TAVHL', 'AKBNK')",0.035821801468445,"('TAVHL', 'AKBNK')",0.002355399041301
"('KOZAA', 'ASELS')",5.98649368488303e-31,"('ISCTR', 'YKBNK')",6.568440829613799e-32,"('THYAO', 'ASELS')",0.11237319617088198,"('FROTO', 'EREGL')",0.0009055188391779999,"('ASELS', 'TAVHL')",0.035823899799791996,"('KCHOL', 'TUPRS')",0.002357698564229
"('TAVHL', 'ISCTR')",9.74707712008637e-31,"('TTKOM', 'SODA')",6.58016197182083e-32,"('TOASO', 'TTKOM')",0.11241187504042402,"('TOASO', 'ASELS')",0.0009086306197010002,"('TOASO', 'KOZAA')",0.035905937202234006,"('BIMAS', 'TTKOM')",0.0023650048860120003
"('EREGL', 'SISE')",9.89237951960279e-31,"('ARCLK', 'KOZAA')",1.1950504770227497e-31,"('TTKOM', 'TUPRS')",0.112962028156374,"('TOASO', 'AKBNK')",0.000920055756651,"('EKGYO', 'TSKB')",0.03593015876563101,"('ARCLK', 'KOZAA')",0.00237759845558
"('FROTO', 'TKFEN')",1.08297918850351e-30,"('VAKBN', 'TUPRS')",2.12273163820396e-31,"('ISCTR', 'SODA')",0.113164974399028,"('SISE', 'TUPRS')",0.0009203290411239999,"('EREGL', 'YKBNK')",0.035931114667706,"('TCELL', 'HALKB')",0.002384209673632
"('TKFEN', 'HALKB')",1.14882372341078e-30,"('BIMAS', 'GARAN')",2.12803511695385e-31,"('TUPRS', 'AKBNK')",0.11328805817657302,"('SISE', 'KCHOL')",0.0009291258456069999,"('ARCLK', 'FROTO')",0.035945849525697,"('SODA', 'PGSUS')",0.002385745558532
"('ISCTR', 'YKBNK')",1.3642710141995098e-30,"('EREGL', 'FROTO')",2.16105720872187e-31,"('EREGL', 'TUPRS')",0.113500157712123,"('SODA', 'SISE')",0.0009381631662889999,"('PGSUS', 'TKFEN')",0.03595258319321,"('YKBNK', 'KOZAL')",0.002387880110498
"('EREGL', 'FROTO')",1.69535267600825e-30,"('FROTO', 'TKFEN')",2.45492174199061e-31,"('SISE', 'AKBNK')",0.11368169126446001,"('THYAO', 'KOZAL')",0.000960108920364,"('TOASO', 'ASELS')",0.035953177245622005,"('PGSUS', 'GARAN')",0.002389633598713
"('KOZAA', 'SAHOL')",2.53706673906003e-30,"('PGSUS', 'KOZAL')",2.48242715742846e-31,"('ARCLK', 'TTKOM')",0.11385566730089698,"('SISE', 'HALKB')",0.0009658179740769999,"('TCELL', 'HALKB')",0.036016910252692,"('TAVHL', 'ISCTR')",0.002402308239433
