,AKBANK_ARÇELİK
matthews_corrcoef,0.06320913660546985
accuracy_score,0.18370025654793867
mutual_info_score,0.006262702264791198
adjusted_rand_score,0.00356684224978095
oddsratio,2.25877102643323
p_value,4.457480372741185e-47
chi2,208.3280802031746
p,5.7827200920096615e-46
dof,2.0
